producto,marca,categoria,codigo_barras,presentacion,factor_unidades,precio,stock_inicial
Encendedor Click Simple,Genérico,Cigarrillos y Vapes,,Unidad,1,1.5,0
Encendedor Simple 1 und,Genérico,Cigarrillos y Vapes,,Unidad,1,1.0,0
Encendedor tipo clipper atomic,Clipper,Cigarrillos y Vapes,,Unidad,1,2.5,0
ENE Legend 35OC Mesh Mad Blue 2% NIC salt 10 ml,ENE,Cigarrillos y Vapes,6942035607417,Unidad,1,38.0,0
ENE Legend 35OC Mesh Straw Raspb Cherry Ice 2% NIC sa,ENE,Cigarrillos y Vapes,6942035607363,Unidad,1,38.0,0
Energina 3 lt,Energina,Bebidas,7751731998731,Unidad,1,8.0,0
Energina gaseosa 1 lt,Energina,Bebidas,7751731006511,Unidad,1,3.5,0
Energina Gaseosa 2L,Energina,Bebidas,7751731998878,Unidad,1,6.0,0
Energina Gaseosa 400 ml,Energina,Bebidas,7751731998793,Unidad,1,1.2,0
Energina Gaseosa 600 ml,Energina,Bebidas,7751731007181,Unidad,1,1.8,0
Enjuague Bolivar Baby & Kids 80 ml,Bolívar,Limpieza del Hogar,7750243052627,Unidad,1,1.2,0
Enjuague Fresca Primavera Suavitel 80 ml,Suavitel,Limpieza del Hogar,7702010282942,Unidad,1,1.2,0
Enjuague Lavanda Bolivar Plus 80 ml,Bolívar,Limpieza del Hogar,7750243058339,Unidad,1,1.0,0
Enjuague Lavanda Suavitel 80 ml,Suavitel,Limpieza del Hogar,7702010282911,Unidad,1,1.2,0
ENJUAGUE ORQUIDEA BOLIVAR PLUS 80 ML,Bolívar,Limpieza del Hogar,7750243083560,Unidad,1,1.2,0
Enjuague Suavizante Azul Downy 80 ml,Downy,Limpieza del Hogar,7506339314410,Unidad,1,1.2,0
Eristoff gold premium spirit drink 700 cc,Eristoff,Licores y Cervezas,5010677806657,Unidad,1,30.0,0
Escoba Super Dalia Virutex,Virutex,Limpieza del Hogar,7759998003434,Unidad,1,14.0,7
Escobilla Capsula para baño mascota,Genérico,Limpieza del Hogar,9202303100093,Unidad,1,15.0,1
Escobilla lustrador Cav Pequeño 1 und,Cav,Limpieza del Hogar,,Unidad,1,2.5,0
Escobilla P/lavar ropa Catas und,Genérico,Limpieza del Hogar,,Unidad,1,3.5,0
Escobilla P/lustrar zapato mediano,Genérico,Limpieza del Hogar,,Unidad,1,2.5,1
Esencia de Vainilla Doña Martha x 90 ml.,Doña Martha,Abarrotes,,Unidad,1,1.5,0
Esencia de vainilla umsha 90 ml,Umsha,Abarrotes,7750243069700,Unidad,1,1.5,0
Esponja Carmelita Acerada Tela 1 und,Genérico,Limpieza del Hogar,,Unidad,1,2.5,6
Esponja Cocina Scotch-Brite Multiusos,Scotch-Brite,Limpieza del Hogar,7702098200029,Unidad,1,4.0,0
Esponja Estropajo brillo de metal,Genérico,Limpieza del Hogar,,Unidad,1,1.5,0
Esponja fibra verde Virutex,Virutex,Limpieza del Hogar,7759998008323,Unidad,1,1.5,0
Esponja metalica Mr jomi Alambrada 12 g,Genérico,Limpieza del Hogar,7750458054041,Unidad,1,1.5,0
Esponja Naylin doble uso,Naylin,Limpieza del Hogar,,Unidad,1,1.5,0
Esponja Pulex Doble uso 1 und,Pulex,Limpieza del Hogar,,Unidad,1,1.5,0
Esponja Redonda  Metálica Jingba,Jingba,Limpieza del Hogar,,Unidad,1,2.0,5
Esponja Scotch Brite Limpieza extrafuerte metálica 7 cm x 10 cm,Scotch-Brite,Limpieza del Hogar,7750373104593,Unidad,1,2.5,3
Esponja Scotch Brite Limpieza profunda fibra verde 10 x 13.5 cm,Scotch-Brite,Limpieza del Hogar,7750373104586,Unidad,1,1.8,0
Esponja Verde Scotch-Brite (10cmx10cm),Scotch-Brite,Limpieza del Hogar,7750373000017,Unidad,1,1.5,0
Esponja Viruta Carmelita Blister (x1) Acero,Genérico,Limpieza del Hogar,,Unidad,1,2.0,0
Esponja Yomar Salva uñas 1 und ud.,Yomar,Limpieza del Hogar,,Unidad,1,1.5,0
Espumante Caballo Viejo  750 ml,Genérico,Licores y Cervezas,,Unidad,1,11.0,0
ESPUMANTE DON CASTELO SEMISECCO 750 ML,Genérico,Licores y Cervezas,7750921000162,Unidad,1,21.0,2
Espumante Napoleon Demi-Sec 750 ml,Genérico,Licores y Cervezas,7758645287753,Unidad,1,15.0,0
ESPUMANTE PRIMADO SANTIAGO QUEIROLO 750 ML,Santiago Queirolo,Licores y Cervezas,7758218196017,Unidad,1,22.0,1
Espumante Primadona S.Q. 750 ml,Santiago Queirolo,Licores y Cervezas,7758218621014,Unidad,1,22.0,0
ESPUMANTE SEÑORIO DE NAJAR 750 ML,Señorio de Najar,Licores y Cervezas,7759291000680,Unidad,1,23.0,0
Espumante Sol y Tierra,Sol y Tierra,Licores y Cervezas,7750458570206,Unidad,1,15.0,1
EVERVESS GINGER ALE 1.5 L,Evervess,Bebidas,7751580001101,Unidad,1,7.5,0
Excellent Adulto cordero Skin Care x KG,Excellent,Mascotas,,Unidad,1,15.0,0
Excellent Adulto Rz Peq. x Kg,Excellent,Mascotas,,Unidad,1,15.0,0
Excellent cachorro rz. medianas x KG,Excellent,Mascotas,,Unidad,1,15.0,0
Fabripack bolsas 16 x 19 negra,Fabripack,Bazar y Otros,,Unidad,1,0.0,0
Fanta Cherry Lata x 355 ml,Fanta,Bebidas,49000067729,Unidad,1,6.0,0
FANTA KOLA INGLESA  300 ML,Fanta,Bebidas,7750182007801,Unidad,1,1.2,0
FANTA KOLA INGLESA 500 ML,Fanta,Bebidas,7750182002363,Unidad,1,2.5,0
Fanta lata 350 ml,Fanta,Bebidas,7771620830126,Unidad,1,4.5,0
FANTA MANZANA 300 ML,Fanta,Bebidas,7750182008655,Unidad,1,1.6,0
Fanta Manzana Verde 500 ml,Fanta,Bebidas,7750182008587,Unidad,1,2.5,0
Fanta Naranja 2.25 lt,Fanta,Bebidas,7750182698337,Unidad,1,7.5,0
Fanta Naranja 3 L,Fanta,Bebidas,7750182495301,Unidad,1,8.5,0
FANTA NARANJA 300 ML,Fanta,Bebidas,7750182003704,Unidad,1,1.6,0
Fanta Peach Lata x 355 ml,Fanta,Bebidas,49000033939,Unidad,1,6.0,0
FANTA SABOR NARANJA 500 ML,Fanta,Bebidas,7750182220378,Unidad,1,2.5,0
Fanta Uva Lata x 355 ml,Fanta,Bebidas,49000014242,Unidad,1,6.0,0
Felix Lata Filete Pescado y Atun 156 gr,Felix,Abarrotes,50000290635,Unidad,1,6.0,1
Felix Lata Pate Pescado y Atun 156 gr,Felix,Abarrotes,50000290598,Unidad,1,6.0,0
Felix Lata Pate Salmon 156 gr,Felix,Mascotas,50000290482,Unidad,1,6.0,0
Felix Pate Pavo y Menudencias,Felix,Mascotas,50000290680,Unidad,1,6.0,1
FERNET BRANCA 750 ML (COD. 1602),Fernet Branca,Licores y Cervezas,8004400014416,Unidad,1,58.0,0
Fetuchini Integral Bella Abanquina x 450 g,Bella Abanquina,Abarrotes,7756446000076,Unidad,1,6.0,0
Fetuchini Integral c/Espinaca Bella Abanquina x 450 g,Bella Abanquina,Abarrotes,7756446000090,Unidad,1,6.0,0
Fetuchini Quinua Bella Abanquina x 450 g,Bella Abanquina,Abarrotes,7756446000083,Unidad,1,6.0,1
Fideo Nicolini Codo Chico x 250 g,Nicolini,Abarrotes,7750243081412,Unidad,1,1.5,0
Fideos Don Maximo Cabello de angel 250 gr,Ángel,Abarrotes,7750346000396,Unidad,1,1.5,0
Fideos Don Maximo Spaguetti 500 gr,Don Máximo,Abarrotes,7750346000013,Unidad,1,2.8,0
Fideos Don Vittorio Aritos 235 gr,Don Vittorio,Abarrotes,7750243073752,Unidad,1,1.9,0
Fideos Don Vittorio Cabello de angel 250 g,Ángel,Abarrotes,7750243037549,Unidad,1,1.9,0
Fideos Don Vittorio Canuto rayado 235 gr,Don Vittorio,Abarrotes,7750243073738,Unidad,1,1.9,0
Fideos Don Vittorio Caracol Chico 235 gr,Don Vittorio,Abarrotes,7750243073790,Unidad,1,1.9,0
Fideos Don Vittorio Codo Chico 235 gr,Don Vittorio,Abarrotes,7750243074384,Unidad,1,1.9,0
Fideos Don Vittorio Codo rayado 250 gr,Don Vittorio,Abarrotes,7750243082341,Unidad,1,1.9,0
FIDEOS DON VITTORIO CORBATA CHICA 250 GR,Don Vittorio,Abarrotes,7750243082464,Unidad,1,1.9,0
FIDEOS DON VITTORIO CORBATA GRANDE 250 GR,Don Vittorio,Abarrotes,7750243082389,Unidad,1,1.9,0
Fideos Don Vittorio Fetuccini 450 g,Don Vittorio,Abarrotes,7750243073059,Unidad,1,3.8,0
Fideos Don Vittorio Fetuccini x 950 gr,Don Vittorio,Abarrotes,7750243072977,Unidad,1,7.0,0
FIDEOS DON VITTORIO LINGUINI GROSSO 500 G,Don Vittorio,Abarrotes,7750243082532,Unidad,1,3.8,0
Fideos Don Vittorio Linguini grosso 950 g,Don Vittorio,Abarrotes,7750243072960,Unidad,1,7.0,0
Fideos Don Vittorio Rigatoni 250 gr,Don Vittorio,Abarrotes,7750243073783,Unidad,1,1.9,2
FIDEOS DON VITTORIO SPAGUETTI 500 2.55G,Don Vittorio,Abarrotes,7750243082501,Unidad,1,3.8,0
FIDEOS DON VITTORIO SPAGUETTI 950 G,Don Vittorio,Abarrotes,7750243086813,Unidad,1,7.0,0
Fideos Don Vittorio Tornillo 225 gr,Don Vittorio,Abarrotes,7750243073745,Unidad,1,1.9,0
Fideos Letras y Números  Don Vittorio 235 gr.,Don Vittorio,Abarrotes,7750243073813,Unidad,1,1.9,0
Fideos Molitalia Cabello de angel 250 gr,Ángel,Abarrotes,7750885217583,Unidad,1,1.8,0
Fideos Molitalia Canuto 235 gr,Molitalia,Abarrotes,7750885022781,Unidad,1,1.8,0
Fideos Molitalia Codo rayado 235 gr,Molitalia,Abarrotes,7750885022828,Unidad,1,1.8,0
Fideos Molitalia Corbatita x 225 g,Molitalia,Abarrotes,7750885023894,Unidad,1,1.8,0
FIDEOS MOLITALIA FUSILLI TRICOLOR 250 GR,Molitalia,Abarrotes,7750885289016,Unidad,1,2.5,0
FIDEOS MOLITALIA MACARRON 250 GR,Molitalia,Abarrotes,7750885007382,Unidad,1,1.8,0
Fideos Molitalia Rigatoni 235 gr,Molitalia,Abarrotes,7750885022750,Unidad,1,1.8,0
Fideos Molitalia Spaguetti 450 gr,Molitalia,Abarrotes,7750885021166,Unidad,1,3.5,0
Fideos Molitalia Spaguetti 950 g,Molitalia,Abarrotes,7750885021043,Unidad,1,6.5,0
Fideos Molitalia Tallarin 450 gr,Molitalia,Abarrotes,7750885022118,Unidad,1,3.5,0
Fideos Molitalia Tornillo 235 gr,Molitalia,Abarrotes,7750885022798,Unidad,1,1.8,0
Fideos Municion Don Vittorio 250 gr,Don Vittorio,Abarrotes,7750243082488,Unidad,1,1.9,0
Fideos Municion Nicolini 235 g,Nicolini,Abarrotes,7750243074698,Unidad,1,1.5,0
Fideos Nicolini Aritos 250 gr,Nicolini,Abarrotes,7750243051163,Unidad,1,1.5,0
Fideos Nicolini Cabello de angel 250 gr,Ángel,Abarrotes,7750243051118,Unidad,1,1.5,0
Fideos Nicolini Caracol 225 g,Nicolini,Abarrotes,7750243075466,Unidad,1,1.5,0
Fideos Nicolini Codo chico 235 gr,Nicolini,Abarrotes,7750243074599,Unidad,1,1.5,0
Fideos Nicolini Codo rayado 225 gr,Nicolini,Abarrotes,7750243074728,Unidad,1,1.5,0
Fideos Nicolini Codo Rayado 250 g,Nicolini,Abarrotes,7750243051132,Unidad,1,1.5,0
Fideos Nicolini Corbata 225 gr,Nicolini,Abarrotes,7750243074605,Unidad,1,1.5,0
FIDEOS NICOLINI LETRAS Y NUMEROS 235 GR,Nicolini,Abarrotes,7750243081382,Unidad,1,1.8,0
Fideos Nicolini Macarron 235 gr,Nicolini,Abarrotes,7750243074681,Unidad,1,1.5,0
Fideos Nicolini Plumilla 250 g,Nicolini,Abarrotes,7750243081429,Unidad,1,1.5,0
Fideos Nicolini Spaguetti 950 gr,Nicolini,Abarrotes,7750243072601,Unidad,1,5.0,0
Fideos Nicolini Tallarin grueso 450 gr,Nicolini,Abarrotes,7750243073066,Unidad,1,2.8,0
Fideos Nicolini Tallarin Grueso x 500 g,Nicolini,Abarrotes,7750243051101,Unidad,1,2.8,0
Fideos Nicolini Tornillo 250 gr,Nicolini,Abarrotes,7750243051125,Unidad,1,1.5,0
Fideos Rigatoni Nicolini 250 g,Nicolini,Abarrotes,7750243081436,Unidad,1,1.5,0
Fideos Spaguetti Nicolini 500 g,Nicolini,Abarrotes,7750243051088,Unidad,1,2.8,0
Fideos Spaguetti Nicolini 950 gr,Nicolini,Abarrotes,7750243054478,Unidad,1,5.0,0
Fideos Tallarin Delgado Nicolini 500 g,Nicolini,Abarrotes,7750243051095,Unidad,1,2.8,0
field cream crackers 258 g,Field,Confitería y Golosinas,7622201733889,Unidad,1,6.0,0
Filete Atun Ac/V  San Jorge 140 gr.,San Jorge,Abarrotes,7750106004015,Unidad,1,5.0,0
Filete de Atun A/V  Marinero 140 gr,Marinero,Abarrotes,7751158011051,Unidad,1,5.0,0
Filete de atun en aceite vegetal A1 140 g,A1,Abarrotes,7759109000758,Unidad,1,5.5,0
Filete de atun en aceite vegetal Fanny 140 g,Fanny,Abarrotes,7750885020329,Unidad,1,6.0,0
Filete de atun en aceite vegetal Nicolini 140 g,Nicolini,Abarrotes,7750243072335,Unidad,1,5.5,0
Filete de atun en aceite vegetal Primor 141 g,Primor,Abarrotes,7750243072311,Unidad,1,6.0,0
Filete de atun en agua y sal Fanny 140 g,Fanny,Bebidas,7750885020336,Unidad,1,6.0,0
Filete de atun en agua y sal Gloria 140 g,Gloria,Bebidas,7751271033428,Unidad,1,6.0,0
Filete de Atún Gloria en ac.veg/sal 140 gr,Gloria,Abarrotes,7751271033411,Unidad,1,6.0,0
Filete de Atun Real A/Girasol x 140 g,Real,Abarrotes,7862100605416,Unidad,1,6.5,0
Film clear plastic wrap 30 m x 30 cm Crisli 1 und,Crisli,Bazar y Otros,,Unidad,1,6.5,1
Filtrante Surtido del Valle x 25 und,Del Valle,Abarrotes,7750520000112,Unidad,1,3.5,0
Flake Angel 130 g,Ángel,Abarrotes,7758071002067,Unidad,1,3.5,0
Flan Royal Vainilla 80 g,Royal,Abarrotes,7622201500276,Unidad,1,3.0,0
Flan Vainilla Umsha 90 g,Umsha,Abarrotes,7750243070102,Unidad,1,2.8,0
Flashlyte Rehidratante Uva  625 ml,Flashlyte,Bebidas,7802820774139,Unidad,1,5.5,0
Flor de Jamaica a granel,Genérico,Frutas y Verduras,,Unidad,1,18.0,0
Flor de jamaica sobre SM 1 und,Genérico,Abarrotes,,Unidad,1,0.5,0
Florecimiento flute 8 und,Genérico,Bazar y Otros,8901751446302,Unidad,1,1.2,0
Florida Filete de atun ac/ve 140 g,Florida,Abarrotes,7751158011969,Unidad,1,6.0,0
Florida Trozos ace/ve 140 g,Florida,Limpieza del Hogar,7751158010443,Unidad,1,5.5,0
FOCHIS PASAS CON CHOCOLATE 28 G,Winter's,Confitería y Golosinas,7752748011161,Unidad,1,1.7,12
Fochis sobres Antares,Antares,Confitería y Golosinas,,Unidad,1,2.0,0
Foco Led Rayovac L/A 8 W,Rayovac,Bazar y Otros,8888021305531,Unidad,1,4.5,0
Foco Led Rayovac L/B  14 W,Rayovac,Bazar y Otros,8888021305609,Unidad,1,5.0,0
Foco Philips 13 W - 95 W,Philips,Bazar y Otros,8720169305465,Unidad,1,7.0,0
Foco Pila Led 13W (95W),Genérico,Bazar y Otros,8727900974638,Unidad,1,6.0,0
Foco Pila Led 15w (100w),Genérico,Bazar y Otros,8727900974898,Unidad,1,6.5,0
Fondy chocolate iberica 50 g,La Ibérica,Confitería y Golosinas,7750060003185,Unidad,1,6.0,0
Fondy Menta 50 gr. La Iberica,La Ibérica,Confitería y Golosinas,7750060003376,Unidad,1,8.0,0
Fosforo la llama,La Llama,Cigarrillos y Vapes,,Unidad,1,0.3,0
Fosforo la LLama x 2,La Llama,Cigarrillos y Vapes,7758461000352,Unidad,1,0.0,0
Fosforo palitos inti,Inti,Cigarrillos y Vapes,,Unidad,1,0.3,0
Fosforo parrillero inti,Inti,Cigarrillos y Vapes,,Unidad,1,1.5,0
FOUR LOKO 473 ML TODOS LOS SABORES,Four Loko,Licores y Cervezas,00012025,Unidad,1,12.0,22
Franchettis  Coco 187 ml,Franchettis,Licores y Cervezas,,Unidad,1,13.0,0
Franchettis Chocolate 187 ml,Franchettis,Confitería y Golosinas,,Unidad,1,13.0,0
Franchettis Lucuma 187,Franchettis,Licores y Cervezas,,Unidad,1,13.0,0
Frasco Cafe Liofilizado Vainilla 50 gr.,Genérico,Abarrotes,7707211639380,Unidad,1,24.0,0
Free Tea Frutos Rojos 500 ml,Free Tea,Bebidas,7750670012485,Unidad,1,2.5,0
Free Tea Limon Vidrio x 450 ml,Free Tea,Bebidas,7750670012164,Unidad,1,2.5,0
Free Tea te negro Durazno x 500 ml,Free Tea,Bebidas,7750670012478,Unidad,1,2.5,0
FREJOL CANARIO A GRANEL X KG,Genérico,Abarrotes,7751234013139,Unidad,1,9.5,1
Fresh Can Shampoo Antipulgas x 30 ml,Fresh Can,Cuidado Personal,7753176004558,Unidad,1,1.5,2
Fresh Can Shampoo Cachorros x 30 ml,Fresh Can,Cuidado Personal,7753176004589,Unidad,1,1.5,1
Fresh Can Shampoo Pelo Suave y Brillante x 30 ml,Fresh Can,Cuidado Personal,7753176004572,Unidad,1,1.5,0
Fresh Can Shampoo Piel Sensible x 30 ml,Fresh Can,Cuidado Personal,7753176004565,Unidad,1,1.5,0
Fresia almohada Angel 110 g,Ángel,Abarrotes,7759826001311,Unidad,1,3.5,0
Fresia Almohada Angel 18 g,Ángel,Abarrotes,7759826006163,Unidad,1,0.8,0
Frijol caraota a granel x kg,Genérico,Frutas y Verduras,7751234013009,Unidad,1,6.5,0
Frijol castilla a granel x kg,Genérico,Frutas y Verduras,7751234013184,Unidad,1,5.5,2
Frio Rico Cono Cappuccino Donofrio 70.4 g,Rico Pollo,Helados y Congelados,8445291038288,Unidad,1,5.0,0
Frio Rico Cono Crema de licor 120 ml,Rico Pollo,Licores y Cervezas,8445291628113,Unidad,1,5.0,0
Frio Rico Cono Fresa Huaura 120 ml,Rico Pollo,Helados y Congelados,8445291660625,Unidad,1,5.0,0
Frio Rico Cono Lucuma 120 ml,Rico Pollo,Helados y Congelados,8445290984227,Unidad,1,5.0,0
Frio Rico Cono Vainilla Donofrio 71.8 g,Rico Pollo,Helados y Congelados,8445290984142,Unidad,1,5.0,0
Frio Rico Crocante Cafe x 900 ml,Rico Pollo,Helados y Congelados,,Unidad,1,26.0,0
Frio Rico Crocante de Caramelo 900 ml,Rico Pollo,Confitería y Golosinas,8445290956675,Unidad,1,26.0,0
Frio Rico Mini Paleta Cacao Donofrio,Rico Pollo,Helados y Congelados,,Unidad,1,4.5,0
Frio Rico Paleta Fresa Huaura Donofrio 74.8 g,Rico Pollo,Helados y Congelados,8445291210684,Unidad,1,5.0,0
Frio Rico Paleta Maracuya Donofrio 78.7 g,Rico Pollo,Helados y Congelados,8445290686459,Unidad,1,5.0,0
Frio Rico Paleta Vainilla Almendras Donofrio 77.4 g,Rico Pollo,Helados y Congelados,8445290074751,Unidad,1,5.0,0
Friskies,Friskies,Mascotas,,Unidad,1,14.5,3
Frontera Cabernet Sauvignon 750 ml,Frontera,Licores y Cervezas,7804320559001,Unidad,1,28.0,0
Frontera Carmenere x 750 ml,Frontera,Licores y Cervezas,,Unidad,1,28.0,0
Frontera Malbec 750 ml,Frontera,Licores y Cervezas,7798039596528,Unidad,1,28.0,0
Frontera Merlot 750 ml,Frontera,Licores y Cervezas,7804320706009,Unidad,1,28.0,0
Frontera Sauvignon Blanc  750 ml,Frontera,Licores y Cervezas,7804320556000,Unidad,1,28.0,0
Froot Loops kelloggs 75 g,Kellogg's,Abarrotes,7702103124791,Unidad,1,3.5,0
FRUGOS DEL VALLE 3 LT,Frugos,Bebidas,7750182007283,Unidad,1,6.5,0
FRUGOS DEL VALLE DURAZNO 235 ML,Frugos,Bebidas,7750182001267,Unidad,1,1.5,0
Frugos del valle Fresh 500 ml,Frugos,Bebidas,7750182005982,Unidad,1,1.5,0
Frugos del Valle Fresh Citrus 1.5 L,Frugos,Bebidas,7750182006521,Unidad,1,3.8,0
FRUGOS DEL VALLE FRESH CITRUS 350 ML,Frugos,Bebidas,7750182008167,Unidad,1,1.0,0
FRUGOS DEL VALLE MANGO TETRAPACK 235 ML,Frugos,Bebidas,7750182001311,Unidad,1,1.81,0
FRUGOS DEL VALLE MANZANA  970 ML,Frugos,Bebidas,7750182008358,Unidad,1,5.0,0
Frugos del Valle Manzana 350 ml,Frugos,Bebidas,7750182008198,Unidad,1,1.0,0
Frugos del Valle Manzana Tetrapack 235 ml,Frugos,Bebidas,7750182001335,Unidad,1,1.5,0
FRUGOS DEL VALLE NARANJA 1.45 LT,Frugos,Bebidas,7750182008402,Unidad,1,6.5,0
Frugos del Valle Naranja Tetrapack 235 ml,Frugos,Bebidas,7750182001328,Unidad,1,1.5,0
Frugos manzana 1 lt TTPK,Frugos,Bebidas,7750182003384,Unidad,1,4.5,0
FRUIT ANGEL 130 G,Ángel,Abarrotes,7758071002104,Unidad,1,3.5,0
Fruna Ambrosoli surtido,Ambrosoli,Confitería y Golosinas,,Unidad,1,0.5,0
Fruna Blocks 25 gr.,Ambrosoli,Confitería y Golosinas,7750885016889,Unidad,1,0.8,0
Fruvi Bebida Durazno 1 L,Fruvi,Bebidas,7751731002698,Unidad,1,5.0,0
Fruvi Bebida Durazno 300 ml,Fruvi,Bebidas,7751731002674,Unidad,1,2.5,0
Fruvi Bebida Mango 1 L,Fruvi,Bebidas,7751731002704,Unidad,1,5.0,0
Fruvi Bebida Mango 300 ml,Fruvi,Bebidas,7751731002681,Unidad,1,2.5,0
FUDGE HELADERO B.V. DOYPACK 200 G,B.V.,Confitería y Golosinas,7753992000345,Unidad,1,5.0,0
Fury Energy 350 ml,Fury Energy,Bebidas,815154023924,Unidad,1,2.0,0
Fusion sandia xl marlboro 20 und,Marlboro,Cigarrillos y Vapes,0077968401,Unidad,1,1.5,0
Gajos de Limon Ambrosoli x 100 und.,Ambrosoli,Confitería y Golosinas,,Unidad,1,0.1,0
Galleta Agua Victoria x 150 g,Victoria,Bebidas,7750243024167,Unidad,1,2.5,0
Galleta Animalitos x 60 gr,Genérico,Confitería y Golosinas,7750106001786,Unidad,1,1.0,0
GALLETA ANIMALITOS ZOOLÓGICO X KG,Genérico,Confitería y Golosinas,,Unidad,1,10.0,0
Galleta Biscolata rellena c/chocolate 25 gr,Genérico,Confitería y Golosinas,8699141057718,Unidad,1,2.0,0
Galleta Caritas doble Chocolate  30 gr,Genérico,Confitería y Golosinas,7750885021555,Unidad,1,1.0,0
Galleta Champagne,Genérico,Confitería y Golosinas,,Unidad,1,3.5,0
Galleta chokosoda field 36 g,Field,Confitería y Golosinas,7622202014796,Unidad,1,1.4,0
Galleta club social integral nabisco 24 g,Nabisco,Confitería y Golosinas,7622202047916,Unidad,1,1.0,0
Galleta club social original nabisco 24 g,Nabisco,Confitería y Golosinas,7622201717766,Unidad,1,1.0,0
Galleta Cracknel Integral San Jorge 175 gr,San Jorge,Confitería y Golosinas,7750106003414,Unidad,1,2.6,0
GALLETA DE CHUÑO GUSTITOS FRESCOS  4 UND,Genérico,Confitería y Golosinas,7751451000677,Unidad,1,1.6,0
Galleta de Vainilla Field 37 gr.,Field,Confitería y Golosinas,7622300279783,Unidad,1,1.0,0
Galleta Dore 230 g,Genérico,Confitería y Golosinas,7613033689734,Unidad,1,5.5,0
Galleta Municion San Jorge x 55 g,San Jorge,Confitería y Golosinas,7750106001656,Unidad,1,1.0,0
GALLETA RELLENITAS CHOCOLATE-FRESA 36 GR.,Genérico,Confitería y Golosinas,7750106002646,Unidad,1,0.7,0
Galleta Soda San Jorge 250 g,San Jorge,Confitería y Golosinas,7750106000277,Unidad,1,3.5,0
Galleta Tejana a Granel,Genérico,Confitería y Golosinas,,Unidad,1,26.0,0
GALLETA VAINILLA  GOURMET 250 GR,Genérico,Confitería y Golosinas,7750106003544,Unidad,1,3.5,0
GALLETA VAINILLA TACO FIELD 136 GR,Field,Confitería y Golosinas,7622202802782,Unidad,1,3.0,0
Galletas Animalitos San Jorge x KG,San Jorge,Confitería y Golosinas,7750106000024,Unidad,1,10.0,0
Galletas Avena sobre Antares,Antares,Confitería y Golosinas,,Unidad,1,3.0,0
Galletas coconut San Jorge 55 g,San Jorge,Confitería y Golosinas,7750106001632,Unidad,1,1.0,0
Galletas de soda field 32 g,Field,Confitería y Golosinas,7622201714826,Unidad,1,1.0,0
Galletas Ducales Noel 241 g,Noel,Confitería y Golosinas,7702025120192,Unidad,1,5.5,0
Galletas Integrackers Miel  Victoria 30 gr,Victoria,Confitería y Golosinas,7750243047357,Unidad,1,1.0,0
Galletas Integrales Costa 250 g,Costa,Confitería y Golosinas,7750885002721,Unidad,1,4.0,0
Galletas Integrales Costa 37 gr.,Costa,Confitería y Golosinas,7750885002738,Unidad,1,1.0,0
Galletas Navideñas San Jorge 40 g,San Jorge,Confitería y Golosinas,7750106002257,Unidad,1,1.0,0
Galletas Rellenitas  Chocolate/Menta 36 gr,Genérico,Confitería y Golosinas,7750106002639,Unidad,1,0.7,0
GALLETAS RELLENITAS CHOCOLATE 36 GR,Genérico,Confitería y Golosinas,7750106002608,Unidad,1,0.5,0
Galletas Rellenitas Coco 36 gr.,Genérico,Confitería y Golosinas,7750106002592,Unidad,1,0.7,0
GALLETAS RELLENITAS FRESA 36 GR,Genérico,Confitería y Golosinas,7750106002615,Unidad,1,0.7,0
Galletas Rellenitas Lúcuma 36 gr.,Genérico,Confitería y Golosinas,7750106003872,Unidad,1,0.8,0
Galletas ritz nabisco 20 g,Nabisco,Confitería y Golosinas,7622201389956,Unidad,1,1.0,0
GALLETAS SODA FAMILIAR SAN JORGE 75 G,San Jorge,Confitería y Golosinas,7750106002868,Unidad,1,2.0,0
Galletas Surtidas Arcor x 400 g,Arcor,Confitería y Golosinas,7790040420045,Unidad,1,6.5,0
Galletonas Integrales de Chia / Avena 200 gr,Genérico,Abarrotes,7751451000370,Unidad,1,4.5,0
Galletonas Integrales de Quinua 200 gr,Genérico,Abarrotes,7751451000325,Unidad,1,4.5,0
Ganchitos para pelo,Genérico,Bazar y Otros,,Unidad,1,1.5,0
Ganchos/Pinzas P/ropa (x24),Genérico,Bazar y Otros,,Unidad,1,2.5,0
Gansito Bimbo Marinela 50 g,Bimbo,Confitería y Golosinas,7750727738825,Unidad,1,2.5,0
Gansito Black relleno Frutos del Bosque 50 gr,Bimbo,Confitería y Golosinas,7750727014707,Unidad,1,2.5,0
Garbanzo a Granel,Genérico,Abarrotes,,Unidad,1,8.5,2
Gatorade Sabor apple ice 500 ml,Gatorade,Bebidas,7751655001340,Unidad,1,2.0,0
Gatorade Sabor cool blue 500 ml,Gatorade,Bebidas,7751655001357,Unidad,1,2.0,0
Gatorade Sabor mandarina 500 ml,Gatorade,Bebidas,7751655001333,Unidad,1,2.0,0
Gatorade sabor Mandarina 750 Ml,Gatorade,Bebidas,7751655001371,Unidad,1,4.5,0
Gatorade Sabor Tropical Fruit 1lt,Gatorade,Bebidas,7751655001395,Unidad,1,4.0,0
Gatorade Sabor tropical fruit 500 ml,Gatorade,Bebidas,7751655001326,Unidad,1,2.0,0
Gatorade sabor Tropical Fruit 750 ml,Gatorade,Bebidas,7751655001364,Unidad,1,4.5,0
Gatorlit Recover Fresa/Kiwi 591 ml,Gatorade,Bebidas,7751655001487,Unidad,1,5.0,0
