producto,marca,categoria,codigo_barras,presentacion,factor_unidades,precio,stock_inicial
Ajinomen Vaso Gallina Picante Extremox 50 g,Ajinomoto,Abarrotes,7754487003049,Unidad,1,3.2,0
AJINOMIX CHIFA 12 G,Ajinomoto,Abarrotes,,Unidad,1,0.8,3
Ajinomoto sazonador umami 250 gr,Ajinomoto,Abarrotes,7754487116374,Unidad,1,5.0,0
AJINOMOTO SAZONADOR UMAMI 34 G,Ajinomoto,Abarrotes,7754487002998,Unidad,1,1.0,0
Ajinomoto Sazonador umami 500 g,Ajinomoto,Abarrotes,7754487117876,Unidad,1,8.5,0
Ajinomoto sazonador umami 53 g,Ajinomoto,Abarrotes,7754487002912,Unidad,1,1.5,0
Ajinosillao ajinomoto 150 ml,Ajinomoto,Abarrotes,7754487000659,Unidad,1,2.0,0
Ajinosillao ajinomoto 280 ml,Ajinomoto,Abarrotes,7754487000925,Unidad,1,3.0,0
Ajinosillao ajinomoto 500 ml,Ajinomoto,Abarrotes,7754487121415,Unidad,1,4.0,0
Ajo molido fresco batan 24 g,Batán,Abarrotes,7750552000654,Unidad,1,1.2,0
Ajo molido sal de ajo batan 16 g,Batán,Abarrotes,7750552000326,Unidad,1,1.2,2
Ajo molido sobre SM 1 und,Genérico,Abarrotes,,Unidad,1,0.5,7
Ajo unidad,Genérico,Frutas y Verduras,,Unidad,1,1.0,0
Ajoikion kikko 350 ml,Genérico,Abarrotes,7752704176835,Unidad,1,6.0,0
Ajonjoli a granel KG,Genérico,Abarrotes,,Unidad,1,13.0,0
Ajonjoli sobre SM 1 und,Genérico,Abarrotes,,Unidad,1,0.5,13
Alaska Camu Camu,Alaska,Helados y Congelados,8445291244498,Unidad,1,2.0,0
Alaska Fresa Donofrio 69.5 g,Alaska,Helados y Congelados,8445291233935,Unidad,1,2.0,0
Alaska Limonada 65 ml,Alaska,Helados y Congelados,8445291583429,Unidad,1,1.0,0
Alaska Maracumango Donofrio 66 g,Alaska,Helados y Congelados,8445291254527,Unidad,1,2.5,0
Alaska Maracuyá Donofrio 70 ml,Alaska,Helados y Congelados,8445291235052,Unidad,1,2.0,0
Alaska Piña-Hierbabuena 65 ml.,Alaska,Helados y Congelados,8445291643529,Unidad,1,1.0,0
Alcot Perro x KG,Alcot,Mascotas,,Unidad,1,4.5,0
alfajor azucarado,Genérico,Confitería y Golosinas,,Unidad,1,1.5,0
Alfajor Bon o Bon,Arcor,Confitería y Golosinas,7790040613706,Unidad,1,2.5,0
Alfajor de Coco x und,Genérico,Confitería y Golosinas,,Unidad,1,1.5,0
Alfajor Maicena x und,Genérico,Confitería y Golosinas,,Unidad,1,1.5,0
Alfajor Mani x und,Genérico,Confitería y Golosinas,,Unidad,1,1.5,0
Alfajorcitos arequipeños,Genérico,Confitería y Golosinas,,Unidad,1,1.2,0
Alfajores surtidos,Genérico,Confitería y Golosinas,,Unidad,1,1.5,0
Alka Agrupado Cereza 29 gr,Alka,Confitería y Golosinas,0077564641,Unidad,1,1.2,0
Alka Agrupado Limon 29 gr,Alka,Confitería y Golosinas,0077564665,Unidad,1,1.2,0
Alka Agrupado Mentol 29 gr.,Alka,Confitería y Golosinas,0077564658,Unidad,1,1.2,0
Almendra pelada sobre SM 1 und,Genérico,Abarrotes,,Unidad,1,1.0,0
Almendras a granel KG,Genérico,Abarrotes,,Unidad,1,38.0,0
Alpiste a granel x Kg,Genérico,Abarrotes,,Unidad,1,7.5,0
Alverja partida a granel x kg,Genérico,Abarrotes,7751234024814,Unidad,1,9.0,1
Always T.H. Seca talla M x 10 und,Always,Cuidado Personal,7500435233439,Unidad,1,5.5,0
ALWAYS T.H. SUAVE TALLA M X 10 UND,Always,Cuidado Personal,7500435254489,Unidad,1,5.5,0
Amargo de Angostura Wislan 75 ml,Wislan,Abarrotes,,Unidad,1,10.0,0
Amayu Aloe 500 ml,Bio Amayu,Bebidas,7750670020756,Unidad,1,3.0,0
Ambientador Sapolio antitabaco 360 ml,Sapolio,Limpieza del Hogar,7751851006026,Unidad,1,7.0,0
Ambientador Sapolio Arrullo de Bebe,Sapolio,Limpieza del Hogar,7751851006088,Unidad,1,7.0,0
Ambientador Sapolio Coco Tropical 360 ml,Sapolio,Limpieza del Hogar,7750243066860,Unidad,1,7.0,0
Ambientador Sapolio Jardin de Rosas 360 ml,Sapolio,Limpieza del Hogar,7751851006002,Unidad,1,7.0,0
Ambientador Sapolio Lavanda SIlvestre 360 ml,Sapolio,Limpieza del Hogar,7751851005982,Unidad,1,7.0,0
Ambientador Sapolio Mazana y canela 360 ml,Sapolio,Abarrotes,7751851025218,Unidad,1,7.0,0
Ambientador Sapolio melon 360 ml,Sapolio,Limpieza del Hogar,7750243066853,Unidad,1,7.0,0
Ambientador Sapolio Potpourri de Flores 360 ml,Sapolio,Limpieza del Hogar,7751851005999,Unidad,1,7.0,0
